,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-05-07,-0.02414928113824317,-0.014977037644777758,-0.0011049695839031022,0.005393496292250157,-0.011008299561913706,-0.014977037644777758
2010-05-14,0.011955586881111839,0.015195731284339183,0.010843194118708535,0.012587531105810247,0.013729963345470664,0.015195731284339183
2010-05-21,-0.00877341235627549,-0.01623943647079696,-0.007552503755027892,-0.01063591827017302,-0.01139148070751219,-0.01623943647079696
2010-05-28,-0.006488912594264713,0.004159497603720497,0.0004177744291456978,0.006903006979890041,0.0021790534187634044,0.004159497603720497
2010-06-04,-0.00883666509729689,-0.0041848322797783406,-0.0002553617735274161,0.0021594224402519337,-0.002534977028662974,-0.0041848322797783406
2010-06-11,0.015764164364297964,0.011626260112455235,0.009064084677950009,0.006834674349383518,0.010393027142549749,0.011626260112455235
2010-06-18,0.012410775552713698,0.01695969836561654,0.013760763245443685,0.016775886441709766,0.01596038956426361,0.01695969836561654
2010-06-25,-0.012696503754885518,-0.005030184748899423,-0.0018469950195217192,0.0025472358841637766,-0.002937320038477406,-0.005030184748899423
2010-07-02,-0.024236005352545883,-0.019173037142209762,-0.014418542326848336,-0.011427883554580865,-0.015113431220842067,-0.019173037142209762
2010-07-09,0.027324929142749678,0.01809457150721956,0.011705727278272161,0.0032070862325845623,0.014996424381912243,0.01809457150721956
2010-07-16,-0.0007187978955589735,-0.002413943746914531,-0.0003095681463591183,5.0814355255182034e-05,-0.0006135518303153854,-0.002413943746914531
2010-07-23,0.01652153128049685,0.011563434523513803,0.006349673683002232,0.0012879842130555895,0.00961811426103329,0.011563434523513803
2010-07-30,0.002051903301992021,-0.0005362338361551285,0.0008883679379401964,-0.0003659233515466573,-3.891168516528213e-06,-0.0005362338361551285
2010-08-06,0.009958043352843424,0.008234126618899341,0.008180509523931838,0.0057814380768830284,0.006638763911969048,0.008234126618899341
2010-08-13,-0.011871253801568204,-0.0036637524581666437,0.0011296998577122045,0.009343398032877308,-0.0006349995779383853,-0.0036637524581666437
2010-08-20,0.010879748908698202,0.011538685123755355,0.015953996010273867,0.018425744035782735,0.013890750811983401,0.011538685123755355
2010-08-27,-0.0063474610838639,-0.0031550091839486374,-0.002919866810895947,-0.0010550790918055328,-0.0034918682987247767,-0.0031550091839486374
2010-09-03,0.014670634640520206,0.00937153851490289,0.005365119487624812,-0.00047943971712493025,0.006515367816908195,0.00937153851490289
2010-09-10,-0.0006372415260553995,0.0020009949524699075,0.002185246735835196,0.0035315932991066322,0.001364241404228402,0.0020009949524699075
2010-09-17,0.0028017572480042267,0.008357315720509212,0.007187926181132145,0.008867741778151063,0.007180961195585327,0.008357315720509212
2010-09-24,0.02288708940557555,0.014674612487322575,0.019289561841156426,0.018662417946057535,0.014046956580755063,0.014674612487322575
2010-10-01,0.0031978208544499566,0.00777016343267667,0.0036254396805895277,0.002808933792595417,0.008196229845048197,0.00777016343267667
2010-10-08,0.01004039710498428,0.012501750517733064,0.013159573351962198,0.014703969607733321,0.011381458401860462,0.012501750517733064
2010-10-15,-0.009159354557385101,-0.001978488183704755,0.00012193411596884868,0.004791054388682847,-0.004902067989060925,-0.001978488183704755
2010-10-22,0.007673584753914936,-0.0024371160290516326,0.0027548934302049867,0.0018807271961930514,-0.0014616433328539704,-0.0024371160290516326
2010-10-29,-0.002962099772227986,0.005017352084308499,0.0019377039106733135,0.003375618117327503,0.004068174615185609,0.005017352084308499
2010-11-05,0.012504675958999952,0.014005657657674466,0.02516774812805287,0.025640974459501226,0.01049820079089629,0.014005657657674466
2010-11-12,-0.01997458609065633,-0.01859408749896003,-0.019482240616304013,-0.018327793707374515,-0.01847857748461698,-0.01859408749896003
2010-11-19,0.003505849586457479,0.0002157309978507195,0.0007945317138633462,0.0021711783644177405,0.0012208955019748923,0.0002157309978507195
2010-11-26,-0.0058847575442397505,-0.005097330709380763,-0.009694108834793526,-0.014728280122348428,-0.004210371614550629,-0.005097330709380763
2010-12-03,0.012884204616516811,0.016223368642409714,0.02552141143133312,0.02466108230282193,0.010928417409024005,0.016223368642409714
2010-12-10,0.0017202931935047655,-0.0038102471427376087,0.006106736407057597,0.010358695295311355,-0.004778225046877377,-0.0038102471427376087
2010-12-17,-0.0004972569576633108,-0.002045421724940165,-0.0015562121317832637,-0.0019262356047357917,-0.0017944403382675247,-0.002045421724940165
2010-12-24,0.008250307947450717,0.005978184019067188,0.009506957512781584,0.011062519622284517,0.005087098607174115,0.005978184019067188
2010-12-31,0.005715291113438291,0.011112058420798928,0.0063524070294578945,0.005354624838795548,0.011317472156146004,0.011112058420798928
2011-01-07,0.0006626432528635869,-0.007259472382572541,0.0010104852840233775,0.003468590652556475,-0.00794475082860215,-0.007259472382572541
2011-01-14,0.008304343900580543,0.0031401413611361023,0.008715414589220838,0.010397029232360026,0.0021946900139899203,0.0031401413611361023
2011-01-21,-0.005782067757084987,-0.00599759789826151,-0.006066951628955451,-0.006198793692369377,-0.005673952018353663,-0.00599759789826151
2011-01-28,-0.001464984400318679,-0.0015392099738764445,-0.0024829439104028053,-0.0032107110828041136,-0.0009944271961208528,-0.0015392099738764445
2011-02-04,0.0035737210227614023,0.002907275532746014,0.01589164367683118,0.018256009899367077,-0.00018017223098865283,0.002907275532746014
2011-02-11,0.013251394884519764,0.009648611774521289,0.012438527831516215,0.01193786142785392,0.009473423981708771,0.009648611774521289
2011-02-18,0.006544704559149155,0.009630963794401655,0.00872127872481429,0.009448388618851163,0.00889086378145941,0.009630963794401655
2011-02-25,0.0024961819754875797,0.005464028538350039,-0.0018689774494198503,-0.006046545485015524,0.007597956452640716,0.005464028538350039
2011-03-04,-0.005871979720615614,-0.00016969352985243043,-0.0012756751660218599,0.000633911425270627,-0.001202683926513016,-0.00016969352985243043
2011-03-11,-0.002733372456426299,-0.003235835264501526,-0.005643095182789035,-0.007699401786256827,-0.0020000884102794577,-0.003235835264501526
2011-03-18,-0.005356490108073021,-0.0009043689824044148,0.0020508849454767965,0.005883882514104004,0.001269877564713068,-0.0009043689824044148
2011-03-25,0.012849433159192038,0.008135332280059443,0.004484661410034179,-1.7922606844373514e-05,0.005881970732490533,0.008135332280059443
2011-04-01,0.008412242906846272,0.0022118889770528574,0.002948146548417549,-0.001675547235913611,0.001475540844557523,0.0022118889770528574
2011-04-08,-0.009800134379544028,0.005920003497215583,-0.0007049996254268243,0.001911995943806529,0.0047508682523160605,0.005920003497215583
