,SPY,TLT,GLD,HYG
Deep Calm,0.6,0.0,0.0,0.39999999999999986
Calm,0.6,0.09262097067873669,0.10841110813235183,0.19896792118891155
Elevated Stress,7.914675859144182e-18,0.3180085029442662,0.39892806962575217,0.2830634274299817
Crisis,0.0,0.6,0.40000000000000413,0.0
