Date,LSI,IRI,regime_0,regime_1,regime_2,regime_3,regime,regime_name
2007-05-11,-1.1326710221924186,-0.05299495143055288,8.76453285365419e-118,1.0,1.0846413043217383e-177,3.795108384737494e-304,1,Calm
2007-05-18,-1.1123804339960108,-0.9229205851662122,0.10771728626435936,0.8918955674024006,0.0003871463332399685,2.1328997071163007e-27,1,Calm
2007-05-25,-1.0739582185866177,-0.922727061468432,0.3499444560122613,0.649321557058391,0.0007339853570651053,1.572282519652639e-09,1,Calm
2007-06-01,-0.6596737392693431,-1.0967633665099623,0.8772673546271142,0.12149408965744081,0.0012385544399337524,1.275511051729481e-09,0,Deep Calm
2007-06-08,-0.279222461664009,-1.5914117075793401,0.998805305360912,0.0004081299074493982,0.0007865603011942942,4.430444235656546e-09,0,Deep Calm
2007-06-15,-0.27691392070440546,-1.0566772663628683,0.9987324517513423,0.00037670117609906253,0.0008908414537434097,5.6188153501399e-09,0,Deep Calm
2007-06-22,-0.1528530213912655,-0.8709791777447229,0.997792164388535,0.0003283206214866517,0.0018794909603310614,2.4029647335941586e-08,0,Deep Calm
2007-06-29,-0.5030932555841613,-0.9668734061421261,0.9908904509498034,0.0031227487220507107,0.005986475278022194,3.2505012374333e-07,0,Deep Calm
2007-07-06,0.04987872289448402,-0.3499414701383018,0.9227031926762865,0.0015351729453582685,0.07576015076469444,1.4836136605932473e-06,0,Deep Calm
2007-07-13,-0.16526561198463963,0.11394561652677458,0.6926020836105775,0.04058538239252796,0.2667883381064794,2.4195890415245447e-05,0,Deep Calm
2007-07-20,-0.13276269428744464,0.7819022904652817,0.23989452251360868,0.0728831395575403,0.686997172731755,0.0002251651970960671,2,Elevated Stress
2007-07-27,2.630684922128654,-0.1711019719242369,4.843981558333091e-07,6.641421268892962e-26,0.9947790117745798,0.005220503827264248,2,Elevated Stress
2007-08-03,0.9066459049261947,0.6973065558923549,0.017000343632092473,9.076186977772648e-07,0.9823667100332998,0.000632038715909913,2,Elevated Stress
2007-08-10,0.3487222914491394,0.0889486715669206,0.24382797989768557,0.0012995762566336243,0.7547047146029933,0.00016772924268754533,2,Elevated Stress
2007-08-17,-0.2417021216495515,-0.6060547582723459,0.4733578099489544,0.17174651530072862,0.3547574325970033,0.00013824215331367944,2,Elevated Stress
2007-08-24,-0.47151101514662147,0.5735633341497053,0.06158392512914797,0.8834711220187673,0.054918077263580826,2.6875588503908572e-05,1,Calm
2007-08-31,-1.3057556203589133,0.5824968010278103,0.0024528019950084026,0.9864927302441437,0.011039519849685082,1.4947911162719622e-05,1,Calm
