,returns,returns,returns,returns,returns,returns,turnover,turnover,turnover,turnover,turnover,turnover,growth,growth,growth,growth,growth,growth,drawdown,drawdown,drawdown,drawdown,drawdown,drawdown
,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility,60/40 Benchmark,Equal Weight,Phase II Hand + Regime,Post-Phase-II Regime Optimized,Risk Parity,Minimum Volatility
2010-07-09,0.027324929142749678,0.01809457150721956,0.011705727278272161,0.0032070862325845623,0.014996424381912243,0.01809457150721956,0.0,0.07657291589034976,0.08149508050277918,0.0,0.0714654064494204,0.07657291589034976,0.9810444028190575,1.0054980758373402,1.0204218406576162,1.0345141417306338,1.013730656992989,1.0054980758373402,-0.010300637402984592,-0.00644840828269122,-0.0047232673015019655,-0.008257447530011897,-0.0032799648832957384,-0.00644840828269122
2010-07-16,-0.0007187978955589735,-0.002413943746914531,-0.0003095681463591183,5.0814355255182034e-05,-0.0006135518303153854,-0.002413943746914531,0.0,0.0,0.0,0.0,0.0,0.0,0.9803392301668612,1.003070860044638,1.0201059505598995,1.0345667098997482,1.0131086806929441,1.003070860044638,-0.011012031222055407,-0.008846785934754187,-0.005031373274757778,-0.008207052771629142,-0.003891504285153613,-0.008846785934754187
2010-07-23,0.01652153128049685,0.011563434523513803,0.006349673683002232,0.0012879842130555895,0.00961811426103329,0.011563434523513803,0.0,0.0,0.0,0.0,0.0,0.0,0.9965359354235613,1.0146698042572089,1.0265832904680436,1.035899215489452,1.0228528757426936,1.0146698042572089,0.0,0.0,0.0,-0.006929639112979058,0.0,0.0
2010-07-30,0.002051903301992021,-0.0005362338361551285,0.0008883679379401964,-0.0003659233515466573,-3.891168516528213e-06,-0.0005362338361551285,0.0,0.0,0.0,0.0,0.0,0.0,0.9985807308000108,1.0141257039756413,1.0274952741489205,1.0355201557766556,1.0228488956497865,1.0141257039756413,0.0,-0.0005362338361550867,0.0,-0.007293026747756448,-3.8911685164011445e-06,-0.0005362338361550867
2010-08-06,0.009958043352843424,0.008234126618899341,0.008180509523931838,0.0057814380768830284,0.006638763911969048,0.008234126618899341,0.0,0.0,0.0,0.0,0.0,0.0,1.0085246410086313,1.0224761434296572,1.0359007090248906,1.0415069514346427,1.0296393479856236,1.0224761434296572,0.0,0.0,0.0,-0.0015537528534085299,0.0,0.0
2010-08-13,-0.011871253801568204,-0.0036637524581666437,0.0011296998577122045,0.009343398032877308,-0.0006349995779383853,-0.0036637524581666437,0.0,0.0,0.0,0.0,0.0,0.0,0.9965521890300824,1.01873004394575,1.03707096590848,1.051238165435905,1.0289855274342241,1.01873004394575,-0.011871253801568171,-0.003663752458166636,0.0,0.0,-0.0006349995779382223,-0.003663752458166636
2010-08-20,0.010879748908698202,0.011538685123755355,0.015953996010273867,0.018425744035782735,0.013890750811983401,0.011538685123755355,0.0,0.0,0.0,0.0,0.0,0.0,1.0073944266211432,1.0304848491489496,1.053616391960955,1.0706080107928728,1.0432789089849503,1.0304848491489496,-0.0011206611534624322,0.0,0.0,0.0,0.0,0.0
2010-08-27,-0.0063474610838639,-0.0031550091839486374,-0.002919866810895947,-0.0010550790918055328,-0.0034918682987247767,-0.0031550091839486374,0.0,0.0,0.0,0.0,0.0,0.0,1.0010000297020643,1.0272336599859646,1.0505399724266522,1.0694784346651658,1.0396359164359377,1.0272336599859646,-0.0074610088842663735,-0.0031550091839487315,-0.0029198668108959547,-0.0010550790918054664,-0.0034918682987247207,-0.0031550091839487315
2010-09-03,0.014670634640520206,0.00937153851490289,0.005365119487624812,-0.00047943971712493025,0.006515367816908195,0.00937153851490289,0.0,0.0,0.0,0.0,0.0,0.0,1.015685335412973,1.0368604197943279,1.0561762449052472,1.0689656842269788,1.046409526827186,1.0368604197943279,0.0,0.0,0.0,-0.001534012962108977,0.0,0.0
2010-09-10,-0.0006372415260553995,0.0020009949524699075,0.002185246735835196,0.0035315932991066322,0.001364241404228402,0.0020009949524699075,0.0,0.0,0.68103114264048,1.1999999999999997,0.0,0.0,1.0150380985398422,1.0389351722607523,1.058484250596893,1.0727408362743698,1.0478370820294627,1.0389351722607523,-0.0006372415260554876,0.0,0.0,0.0,0.0,0.0
