Date,regime_0,regime_1,regime_2,regime_3
2007-05-11,8.76453285365419e-118,1.0,1.0846413043217383e-177,3.795108384737494e-304
2007-05-18,0.10771728626435936,0.8918955674024006,0.0003871463332399685,2.1328997071163007e-27
2007-05-25,0.3499444560122613,0.649321557058391,0.0007339853570651053,1.572282519652639e-09
2007-06-01,0.8772673546271142,0.12149408965744081,0.0012385544399337524,1.275511051729481e-09
2007-06-08,0.998805305360912,0.0004081299074493982,0.0007865603011942942,4.430444235656546e-09
2007-06-15,0.9987324517513423,0.00037670117609906253,0.0008908414537434097,5.6188153501399e-09
2007-06-22,0.997792164388535,0.0003283206214866517,0.0018794909603310614,2.4029647335941586e-08
2007-06-29,0.9908904509498034,0.0031227487220507107,0.005986475278022194,3.2505012374333e-07
2007-07-06,0.9227031926762865,0.0015351729453582685,0.07576015076469444,1.4836136605932473e-06
2007-07-13,0.6926020836105775,0.04058538239252796,0.2667883381064794,2.4195890415245447e-05
2007-07-20,0.23989452251360868,0.0728831395575403,0.686997172731755,0.0002251651970960671
2007-07-27,4.843981558333091e-07,6.641421268892962e-26,0.9947790117745798,0.005220503827264248
2007-08-03,0.017000343632092473,9.076186977772648e-07,0.9823667100332998,0.000632038715909913
2007-08-10,0.24382797989768557,0.0012995762566336243,0.7547047146029933,0.00016772924268754533
2007-08-17,0.4733578099489544,0.17174651530072862,0.3547574325970033,0.00013824215331367944
2007-08-24,0.06158392512914797,0.8834711220187673,0.054918077263580826,2.6875588503908572e-05
2007-08-31,0.0024528019950084026,0.9864927302441437,0.011039519849685082,1.4947911162719622e-05
2007-09-07,0.0006802318081740432,0.990177608220624,0.009136641843437281,5.518127764683834e-06
2007-09-14,0.0004297887049141632,0.9856392848875899,0.013921099803993179,9.826603502719983e-06
2007-09-21,0.00027542534457943474,0.9894108790924262,0.010303877921470197,9.817641524262751e-06
2007-09-28,0.00018680929900320096,0.9886018995000245,0.01120065425420042,1.0636946771895327e-05
2007-10-05,0.0010984762677180692,0.9824101750979718,0.01648356908052553,7.779553784595093e-06
2007-10-12,0.004393962984088744,0.8677388076359065,0.12784308213621504,2.414724378958009e-05
2007-10-19,0.0009320889315691693,2.352474311384673e-09,0.9989212001078173,0.00014670860813929557
2007-10-26,0.00033108564718974386,6.110908589938028e-08,0.9988813830781454,0.0007874701655789317
2007-11-02,0.0002665205336942821,7.018990310064826e-06,0.9977269168748643,0.0019995436011313607
2007-11-09,4.108913312926568e-06,1.1699199634992379e-13,0.9927752231707686,0.007220667915801353
2007-11-16,0.011287644790818264,0.0019036932278046652,0.9860804768262624,0.000728185155114691
2007-11-23,0.01813908943661567,0.00011868349755721495,0.9813318426992241,0.0004103843666029252
2007-11-30,0.05789959441484531,2.5478555832846436e-08,0.9419149094059882,0.0001854707006106312
2007-12-07,0.5301081192465172,0.002821010764750949,0.4669223075598899,0.00014856242884194972
2007-12-14,0.5630807139770411,0.0028180447118964103,0.4339783972938669,0.00012284401719566933
2007-12-21,0.22048708352282945,0.5934803953759082,0.18592279385139499,0.0001097272498674132
2007-12-28,0.0766910676213624,0.6093940444612289,0.31377918713122643,0.00013570078618222473
2008-01-04,0.0010858375677530463,9.142683204862339e-08,0.9978935777886025,0.0010204932168123766
2008-01-11,0.00013586751980302733,5.34436362396125e-05,0.9918856625714373,0.007925026272520095
2008-01-18,2.3671684622621183e-08,2.0807383545297742e-21,0.9727189137952807,0.027281062533034542
2008-01-25,0.00030318650393290397,5.99458188520795e-05,0.9917798790016342,0.007856988675580785
2008-02-01,1.800887026364637e-07,1.0933019586030548e-20,0.9906446991474891,0.009355120763808284
2008-02-08,1.8895835953739203e-07,6.363557054677318e-23,0.9933226851491606,0.006677125892480046
2008-02-15,0.010112937809238817,2.682228099807767e-08,0.98926814655855,0.0006188888099301243
2008-02-22,0.023938808270174895,5.51675325461026e-06,0.9757612230975714,0.00029445187899913313
2008-02-29,0.014838755852577707,0.0001844444072401168,0.9846047452027054,0.000372054537476815
2008-03-07,0.015786354539100503,8.691204832135807e-05,0.9837733815094308,0.00035335190314732126
2008-03-14,0.012130629395099816,0.07350579831652596,0.9133875683307636,0.000976003957610531
2008-03-21,0.35801973088082123,0.0027229925293518155,0.639159749483357,9.752710647010699e-05
2008-03-28,0.7235354474262209,0.06140439330505848,0.2149878909529558,7.226831576471462e-05
