,Total Return,Ann Return,Ann Vol,Sharpe,Max Drawdown,Calmar,Ann Turnover
60/40 Benchmark,3.50853204946342,0.0994465640533122,0.10076623768185379,0.9869036131654716,-0.27251797389229115,0.36491744978486096,0.24198410916402105
Equal Weight,2.5837398436631234,0.08367160972927734,0.08343838300810853,1.0027951970395466,-0.205191694116314,0.407772888126006,0.18761888923107337
Phase II Hand + Regime,6.508382093922023,0.13532223018124778,0.08288647106477101,1.632621445247696,-0.2630978420349088,0.5143418476358795,3.4198762387137527
Post-Phase-II Regime Optimized,9.191296770212027,0.15736960270074252,0.08488258407593985,1.8539680950329276,-0.23742202068175566,0.6628264819280739,5.794241676980199
Risk Parity,2.3000841600852198,0.07806071716056917,0.08049253775699759,0.9697882479023093,-0.20464303730969824,0.38144819480193376,0.17047911886290107
Minimum Volatility,2.5837398436631234,0.08367160972927734,0.08343838300810853,1.0027951970395466,-0.205191694116314,0.407772888126006,0.18761888923107337
