Date,LSI,IRI,regime,regime_name
2007-05-11,-1.1326710221924186,-0.05299495143055288,1,Calm
2007-05-18,-1.1123804339960108,-0.9229205851662122,1,Calm
2007-05-25,-1.0739582185866177,-0.922727061468432,1,Calm
2007-06-01,-0.6596737392693431,-1.0967633665099623,0,Deep Calm
2007-06-08,-0.279222461664009,-1.5914117075793401,0,Deep Calm
2007-06-15,-0.27691392070440546,-1.0566772663628683,0,Deep Calm
2007-06-22,-0.1528530213912655,-0.8709791777447229,0,Deep Calm
2007-06-29,-0.5030932555841613,-0.9668734061421261,0,Deep Calm
2007-07-06,0.04987872289448402,-0.3499414701383018,0,Deep Calm
2007-07-13,-0.16526561198463963,0.11394561652677458,0,Deep Calm
2007-07-20,-0.13276269428744464,0.7819022904652817,2,Elevated Stress
2007-07-27,2.630684922128654,-0.1711019719242369,2,Elevated Stress
2007-08-03,0.9066459049261947,0.6973065558923549,2,Elevated Stress
2007-08-10,0.3487222914491394,0.0889486715669206,2,Elevated Stress
2007-08-17,-0.2417021216495515,-0.6060547582723459,2,Elevated Stress
2007-08-24,-0.47151101514662147,0.5735633341497053,1,Calm
2007-08-31,-1.3057556203589133,0.5824968010278103,1,Calm
2007-09-07,-0.3562756297727589,1.4749568017851769,1,Calm
2007-09-14,-0.17238327166048253,1.9765953246554016,1,Calm
2007-09-21,-0.453409765779568,1.7655734531880654,1,Calm
2007-09-28,-0.7226317786330351,1.7694338386823236,1,Calm
2007-10-05,-0.9372861851490735,0.8055569759157273,1,Calm
2007-10-12,-1.2281232717695474,0.7521771116808552,1,Calm
2007-10-19,1.4732242059562093,0.8855453294249005,2,Elevated Stress
2007-10-26,1.0112095798593663,0.9573208489055994,2,Elevated Stress
2007-11-02,0.7647106878658433,1.5586568741737286,2,Elevated Stress
2007-11-09,1.925681419636789,1.746895184492079,2,Elevated Stress
2007-11-16,0.09535191576464494,0.6530366202086232,2,Elevated Stress
2007-11-23,0.48592167931477676,0.8241938480735751,2,Elevated Stress
2007-11-30,0.9936668649006344,-0.0543690759917376,2,Elevated Stress
2007-12-07,-0.19014545083679962,-0.7899845393952575,0,Deep Calm
2007-12-14,0.2870483240268717,-0.2352254071207725,0,Deep Calm
2007-12-21,-0.8714626134896332,-0.27732851789674023,1,Calm
2007-12-28,-0.5707265903262847,0.6382551513246898,1,Calm
2008-01-04,1.3626735413819604,1.4023022156594807,2,Elevated Stress
2008-01-11,0.6274644782896631,2.0570612265658705,2,Elevated Stress
2008-01-18,2.5576064328948624,1.3473782308874596,2,Elevated Stress
2008-01-25,0.5790504885481884,1.6643512219933176,2,Elevated Stress
2008-02-01,2.2808685472555132,0.4634661127198268,2,Elevated Stress
2008-02-08,2.3266297744318654,-0.09647937087352312,2,Elevated Stress
2008-02-15,0.7050338347778168,-0.6361825819837699,2,Elevated Stress
2008-02-22,0.37915721413715936,-0.4790829125293105,2,Elevated Stress
2008-02-29,0.3698391221760845,0.7347937605323123,2,Elevated Stress
2008-03-07,0.5451618905365658,0.3048633950222926,2,Elevated Stress
2008-03-14,-0.24430656858422134,1.9908689401074153,2,Elevated Stress
2008-03-21,0.3430282839597605,0.21181838744716125,2,Elevated Stress
2008-03-28,-0.5730489436040799,-0.48087491752330314,0,Deep Calm
2008-04-04,0.6632827364794815,-0.4642771457271909,0,Deep Calm
2008-04-11,0.15898522648420824,-0.9488274923604704,0,Deep Calm
2008-04-18,0.5472522092920268,-0.5390564466768021,0,Deep Calm
2008-04-25,-0.617586062835041,-1.2296625347457817,0,Deep Calm
2008-05-02,-0.6818442589495808,-1.3805097529620094,0,Deep Calm
2008-05-09,-0.48610128746718273,-1.0490517347460744,0,Deep Calm
2008-05-16,0.016851506200837703,-0.43173016274573855,0,Deep Calm
2008-05-23,1.024470592187367,0.4715574910616154,2,Elevated Stress
2008-05-30,0.5835273155664437,0.022565582373599943,2,Elevated Stress
2008-06-06,1.0618352799785458,-0.497540324822612,2,Elevated Stress
2008-06-13,-0.45472122969462214,-1.3089491360702283,2,Elevated Stress
2008-06-20,0.892608328050055,-1.1757418380801512,2,Elevated Stress
2008-06-27,0.7736847796211701,0.539984985182485,2,Elevated Stress
2008-07-04,0.11694641178514688,0.3122596405995072,2,Elevated Stress
2008-07-11,0.6587159540964416,1.6313971608261861,2,Elevated Stress
2008-07-18,0.3647059480221993,0.6686202960714196,2,Elevated Stress
2008-07-25,-0.8257808302714871,-0.380954168319461,0,Deep Calm
2008-08-01,-0.6846961309388516,-0.5929720563502545,0,Deep Calm
2008-08-08,-0.2104656962584905,-2.048401520408862,0,Deep Calm
2008-08-15,-0.8338617513344377,-2.620892451401648,0,Deep Calm
2008-08-22,-0.543691971732887,-1.6105036915600663,0,Deep Calm
2008-08-29,-0.580449876649956,-1.0746145610708666,0,Deep Calm
2008-09-05,0.5549590171571445,-0.6621353710856452,0,Deep Calm
2008-09-12,-0.039250649798620516,-0.24389693071867058,0,Deep Calm
2008-09-19,0.4572935965854597,0.8042934293694682,2,Elevated Stress
2008-09-26,1.0787191478204614,0.383647635736735,2,Elevated Stress
2008-10-03,4.856788948322817,-0.3616789763446681,3,Crisis
2008-10-10,12.489561249774027,-1.9088145400529983,3,Crisis
2008-10-17,7.195036786228414,-4.358391808326385,3,Crisis
2008-10-24,7.1730542673795235,-4.870894089700193,3,Crisis
2008-10-31,8.740471292860942,-4.879700999551336,3,Crisis
2008-11-07,1.6341511092889696,-2.0780843101494404,3,Crisis
2008-11-14,4.480999034230466,-0.89573324358518,3,Crisis
2008-11-21,6.440423532496102,1.2065460582203056,3,Crisis
2008-11-28,8.979243771979133,2.592390181434248,3,Crisis
2008-12-05,5.7601132305431815,1.6389826205735694,3,Crisis
2008-12-12,4.568452842849591,3.4278390495056925,3,Crisis
2008-12-19,1.303824688436497,4.63111985998603,3,Crisis
2008-12-26,-1.5650312729300713,4.742504610680736,3,Crisis
2009-01-02,0.5536054348279892,4.727217965393489,3,Crisis
2009-01-09,-0.6619064217176948,2.517938830562683,2,Elevated Stress
2009-01-16,0.8353106883777864,-0.5645435051123523,2,Elevated Stress
2009-01-23,1.0618468486900976,-1.6970821072816333,2,Elevated Stress
2009-01-30,-1.0946653693486086,-0.900430897656595,2,Elevated Stress
2009-02-06,2.2594495781459054,-1.4252790069588137,2,Elevated Stress
2009-02-13,1.7000999232617051,-0.3737204438912339,2,Elevated Stress
2009-02-20,3.1020184206678234,0.42010029725703246,3,Crisis
2009-02-27,3.4185121204858167,-1.3802264335739152,3,Crisis
2009-03-06,3.626446896500554,-1.1537160938456161,3,Crisis
2009-03-13,6.395493734954757,-1.5289769705406209,3,Crisis
2009-03-20,2.139103398161634,-1.1954254596957121,3,Crisis
2009-03-27,3.3931102603092445,0.20603963552087787,3,Crisis
2009-04-03,-0.620571643349257,0.19106058263424186,1,Calm
2009-04-10,-0.9198720181754355,-0.20514999069658107,1,Calm
2009-04-17,-1.6502060302840909,-0.7747894611500585,1,Calm
2009-04-24,-1.85333404489161,-0.07185117055156579,1,Calm
2009-05-01,-1.8824316995938446,-0.29295425830456495,1,Calm
2009-05-08,0.39509692113115324,-0.0962504699571931,2,Elevated Stress
2009-05-15,1.9306524284344881,0.18275621742937667,2,Elevated Stress
2009-05-22,-0.44370768195654864,-0.08141738108401503,2,Elevated Stress
2009-05-29,1.2457117646898994,1.2672113779804435,2,Elevated Stress
2009-06-05,0.1960651619494446,-0.1616394240901902,2,Elevated Stress
2009-06-12,-2.13751198551854,-0.41903677325159383,2,Elevated Stress
2009-06-19,0.45876455448803033,-0.6706957906081046,2,Elevated Stress
2009-06-26,-0.5957806508596811,-0.5273912922183941,2,Elevated Stress
2009-07-03,0.4114190661120411,0.12912633909644625,2,Elevated Stress
2009-07-10,0.7054224224212813,0.11089334336867615,2,Elevated Stress
2009-07-17,2.4464042501659273,-0.23482581317010337,2,Elevated Stress
2009-07-24,0.9873865569368916,-0.06181165697370629,2,Elevated Stress
2009-07-31,-0.6741262166601405,1.2609203150921713,1,Calm
2009-08-07,-0.9136084309672144,0.4436095759805382,1,Calm
2009-08-14,-0.8574850746327082,0.9151598449255356,1,Calm
2009-08-21,-0.13910336597383244,0.45264716559051354,1,Calm
2009-08-28,-0.33926878661046456,0.10305253388420856,1,Calm
2009-09-04,0.1971525154869286,1.166572200809689,1,Calm
2009-09-11,0.10615953671915494,1.6901026236693448,1,Calm
2009-09-18,-0.4582141315936711,1.5031300995310166,1,Calm
2009-09-25,-0.4522238585399974,1.1255865822921531,1,Calm
2009-10-02,0.029630797588462557,0.904660572692595,2,Elevated Stress
2009-10-09,1.0810382219424912,0.542168786610002,2,Elevated Stress
2009-10-16,0.2517112592862283,0.623377424024197,2,Elevated Stress
