Price,Close,High,Low,Open,Volume
Ticker,GLD,GLD,GLD,GLD,GLD
Date,,,,,
2006-01-01,53.720001220703125,53.869998931884766,52.099998474121094,52.290000915527344,22186000
2006-01-08,55.439998626708984,55.560001373291016,53.310001373291016,53.459999084472656,23253500
2006-01-15,55.20000076293945,56.599998474121094,54.0099983215332,55.25,22256900
2006-01-22,55.630001068115234,56.529998779296875,55.2599983215332,55.59000015258789,26984700
2006-01-29,56.5,57.29999923706055,55.95000076293945,55.970001220703125,23850100
2006-02-05,54.790000915527344,57.150001525878906,54.33000183105469,56.7599983215332,28656200
2006-02-12,54.959999084472656,55.20000076293945,53.33000183105469,54.63999938964844,23064300
2006-02-19,55.63999938964844,55.709999084472656,54.54999923706055,55.13999938964844,14544100
2006-02-26,56.279998779296875,56.81999969482422,55.0099983215332,55.2599983215332,16948800
2006-03-05,53.83000183105469,56.45000076293945,53.150001525878906,56.40999984741211,26817900
2006-03-12,55.119998931884766,55.439998626708984,53.91999816894531,54.09000015258789,15382400
2006-03-19,55.709999084472656,55.83000183105469,54.2400016784668,55.0099983215332,15266000
2006-03-26,58.099998474121094,58.70000076293945,55.91999816894531,56.18000030517578,23990000
2006-04-02,58.59000015258789,59.34000015258789,58.0,58.619998931884766,25720300
2006-04-09,59.5,59.849998474121094,58.869998931884766,59.47999954223633,15227200
2006-04-16,63.20000076293945,63.95000076293945,60.20000076293945,60.380001068115234,42994400
2006-04-23,65.08999633789062,65.2699966430664,61.599998474121094,62.349998474121094,33590900
2006-04-30,67.98999786376953,68.01000213623047,64.9800033569336,65.68000030517578,48700000
2006-05-07,71.12000274658203,72.26000213623047,66.75,67.19999694824219,67314600
2006-05-14,65.58000183105469,70.16999816894531,64.69999694824219,68.68000030517578,78428600
2006-05-21,65.0999984741211,67.16000366210938,63.220001220703125,64.41999816894531,45324300
2006-05-28,63.5,66.23999786376953,61.79999923706055,65.19999694824219,34523800
2006-06-04,60.45000076293945,64.19000244140625,59.709999084472656,63.81999969482422,45009700
2006-06-11,57.68000030517578,60.84000015258789,55.04999923706055,60.779998779296875,62225500
2006-06-18,57.9900016784668,58.77000045776367,56.150001525878906,56.849998474121094,34453400
2006-06-25,61.22999954223633,61.349998474121094,57.349998474121094,58.25,31360800
2006-07-02,62.630001068115234,63.20000076293945,61.439998626708984,61.959999084472656,22272200
2006-07-09,65.8499984741211,66.41999816894531,61.9900016784668,62.130001068115234,41011900
2006-07-16,61.709999084472656,65.22000122070312,61.209999084472656,64.79000091552734,38157600
2006-07-23,63.11000061035156,63.61000061035156,59.83000183105469,60.630001068115234,23247500
2006-07-30,64.27999877929688,65.22000122070312,62.439998626708984,63.119998931884766,21793700
2006-08-06,62.709999084472656,65.12999725341797,62.2400016784668,64.47000122070312,26270300
2006-08-13,61.040000915527344,62.900001525878906,60.29999923706055,62.38999938964844,22326900
2006-08-20,61.77000045776367,62.68000030517578,61.45000076293945,62.09000015258789,15562300
2006-08-27,62.13999938964844,62.29999923706055,60.31999969482422,61.79999923706055,18148500
2006-09-03,60.63999938964844,63.630001068115234,60.279998779296875,63.20000076293945,16526000
2006-09-10,57.400001525878906,59.25,56.65999984741211,58.849998474121094,34048500
2006-09-17,58.5,58.75,56.84000015258789,57.470001220703125,22302000
