Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2006-01-01,48.3864631652832,48.66606157425384,48.228197940466835,48.31787968959858,3427400
2006-01-08,48.55002975463867,48.692469346464534,47.87477190779466,48.37593870900894,2624700
2006-01-15,48.73465347290039,48.94039590280132,48.497259599892516,48.53418762513492,2409600
2006-01-22,47.7481689453125,48.79798390451515,47.50549837320235,48.42870347409858,4080900
2006-01-29,47.927490234375,48.006622835227496,47.38411921329313,47.63734273105087,3790000
2006-02-05,47.80659103393555,48.378361126658525,47.67952742297403,48.16659652002459,3354500
2006-02-12,48.15070724487305,48.21423904600703,47.49952344964014,47.77481984291936,2934300
2006-02-19,48.20365524291992,48.41541984741361,48.06070969182066,48.12424149665932,1766300
2006-02-26,47.29307174682617,48.410147848984195,47.24013057460806,48.362497966581124,4797300
2006-03-05,46.901424407958984,47.27863293594465,46.757980509904115,47.27332305133497,5119300
2006-03-12,47.20427703857422,47.45929349135152,46.75800331290019,46.827068326630986,5367000
2006-03-19,47.331764221191406,47.43802272271785,46.93330396049887,47.40614719893361,3166900
2006-03-26,46.15234375,47.31053553402796,46.00358178824633,47.31053553402796,4953400
2006-04-02,45.211978912353516,46.16828562771726,45.10572441213505,45.78576294157177,6916000
2006-04-09,45.03137969970703,45.71932995267382,44.940716560971275,45.410018229253716,7885800
2006-04-16,45.22336959838867,45.47401456447022,44.82872878803669,45.08471190640788,8657200
2006-04-23,44.8820686340332,45.53801861336798,44.61008729033341,45.29803770750682,7277400
2006-04-30,44.58341598510742,44.83939911581338,44.2314437576898,44.62074643451102,6671100
2006-05-07,44.25029754638672,44.98378442422618,44.20210998124219,44.83387481663068,5322400
2006-05-14,45.20326232910156,45.43348164126782,44.25026278539429,44.25026278539429,9349100
2006-05-21,45.08552551269531,45.58879714925601,44.989154435156706,45.42282224171453,6349600
2006-05-28,45.39601516723633,45.44955370006904,44.62504722331496,45.07477988551183,4965900
2006-06-04,46.07675552368164,46.130507333984994,45.42634918671043,45.5876046176205,8768900
2006-06-11,45.318878173828125,46.1950493853809,45.24900117393275,46.055291284586566,6335300
2006-06-18,44.84046936035156,45.30811899302748,44.802842661239886,45.26511587947053,3742100
2006-06-25,45.324241638183594,45.36724474937125,44.67921137437834,44.840466889828456,4164800
2006-07-02,45.308109283447266,45.39948780442129,44.58782163923602,45.09847427603544,3814300
2006-07-09,45.88924789428711,45.95400372362169,45.35502568243105,45.42517474314895,4236500
2006-07-16,46.045719146728516,46.22918774569121,45.457531926882865,45.85145585549223,4374800
2006-07-23,46.245399475097656,46.34792851963639,45.797518322418384,46.08891340928825,3124500
2006-07-30,46.57992935180664,46.666270400270896,45.88921743196378,46.202197557195014,3176800
2006-08-06,46.26791000366211,46.901790202935956,46.246238355809474,46.77176444926434,3334200
2006-08-13,47.010108947753906,47.08596172490376,46.15410223540608,46.24078462816994,4568000
2006-08-20,47.373111724853516,47.45437519029042,47.058879213691526,47.07513190677891,4003100
2006-08-27,47.54645919799805,47.78483881134595,47.12387283483048,47.35683764188951,5274200
2006-09-03,47.50226593017578,47.67088594800783,47.170462304812915,47.60017526470796,6381100
2006-09-10,47.5729866027832,47.88303220224945,47.29557607170317,47.58930413697631,3895400
2006-09-17,48.78053283691406,48.79140980948777,47.306456132205405,47.306456132205405,6055600
2006-09-24,48.6336784362793,49.12322112684497,48.45961364860606,48.867568657366085,9167800
2006-10-01,48.013553619384766,48.872979307830505,47.98635912540433,48.46502454875023,6936300
2006-10-08,47.59825134277344,48.384635373459524,47.570944576762955,48.1115843790648,5755700
2006-10-15,47.811241149902344,48.08429220349076,47.707480416281655,47.729325000540136,3206000
2006-10-22,48.532108306884766,48.63040687823705,47.445361832926224,47.592811773169416,5162200
2006-10-29,48.346431732177734,49.21473647992636,48.22083054734229,48.54302887633102,5693300
2006-11-05,49.26197052001953,49.36064812592801,48.434175280592584,48.434175280592584,3227900
2006-11-12,49.31134796142578,49.55256101565796,48.9440493070257,49.251044697867734,6428400
2006-11-19,49.678627014160156,49.83212463609257,49.26198762427465,49.33873643524086,2766000
2006-11-26,50.11717224121094,50.325493949216444,49.40450438078324,49.46480759283799,6041800
2006-12-03,49.655879974365234,50.415247864958765,49.628369261256765,50.23916334795763,6060000
2006-12-10,49.375179290771484,50.05750531944941,49.30364230027334,49.870413419123736,4598100
2006-12-17,49.18810272216797,49.62831563811602,49.089055025988735,49.369690864860154,3912800
2006-12-24,48.65988540649414,49.35321978791813,48.45628604896122,49.2211532974286,3192600
2006-12-31,49.25553512573242,49.49847376411949,48.95186604016775,49.261057607264625,4865800
2007-01-07,48.6094970703125,49.404565149922604,48.53219925284098,49.20579813002008,3555100
2007-01-14,48.5819091796875,48.742027357687554,48.46596240508405,48.71442338987733,3227800
2007-01-21,47.9856071472168,48.76963052097813,47.84205220715376,48.670246979767796,4966300
2007-01-28,48.145748138427734,48.45494389164662,47.81447088579639,48.06845025322772,6189300
2007-02-04,48.580142974853516,48.95712018681041,48.31958886577364,48.45263840247357,3860700
2007-02-11,49.14006423950195,49.18441549338706,48.34175858784368,48.50252871100088,6411200
2007-02-18,49.25094223022461,49.30638341696425,48.83515870708961,49.06245572992973,2448100
2007-02-25,50.00491714477539,50.59256097395203,49.40064687417211,49.42282251202505,9752200
2007-03-04,49.750640869140625,50.362784360287655,49.63377745911682,50.35165633130773,5367400
2007-03-11,50.001102447509766,50.38508556768447,49.88980508448168,49.934325727981815,3865000
2007-03-18,49.4112548828125,50.134696762512355,49.35560616063948,49.85088700571239,6139700
2007-03-25,49.127403259277344,49.6783324046302,49.0940149006869,49.31661386464143,5038400
2007-04-01,48.83246994018555,49.16080017875949,48.810209615341456,49.03280861805952,2209900
2007-04-08,48.66157531738281,48.91851149035454,48.60013359542659,48.75094238293586,3487400
2007-04-15,49.23686218261719,49.54965313142946,48.8179439069763,48.8179439069763,4509000
2007-04-22,49.05814743041992,49.61111862641315,49.03021782739174,49.23129903710912,4346400
2007-04-29,49.48826599121094,49.57205059098101,49.15871862996691,49.33745712079423,2105800
2007-05-06,49.43973922729492,49.89943499729455,49.40610003051186,49.7256445989619,3091400
2007-05-13,48.73333740234375,49.490152436290956,48.7053054733905,49.46212478440957,2550600
2007-05-20,48.41941833496094,48.907141574383225,48.189568407865444,48.73335552604411,5008900
2007-05-27,47.98213577270508,48.68289137829131,47.95410811472531,48.497895148991866,5087900
2007-06-03,47.16319274902344,48.41261973990095,46.915556481739934,48.3056894103795,13470300
2007-06-10,47.10131072998047,47.213870392179054,46.26272535926031,46.988746773906016,29050800
2007-06-17,47.14068603515625,47.52901970241223,46.28521752569231,47.06751842284251,28325700
2007-06-24,47.93422317504883,48.00739075988568,47.25322790202245,47.3601624990164,15195300
2007-07-01,46.98310470581055,48.04680901399198,46.87054079068264,47.73163434550815,10223800
2007-07-08,47.60433578491211,48.135404234147764,47.27665240939129,47.38399800387671,6911800
2007-07-15,48.56479263305664,48.63259054563487,47.73993742671597,47.75123492362407,6003900
2007-07-22,49.31049346923828,49.46868409906203,48.41219483115138,48.41219483115138,11244800
2007-07-29,49.677734375,49.677734375,49.10146777518444,49.25965843747215,10083200
2007-08-05,48.822486877441406,49.75265470942252,48.61830327264484,49.741308771818645,13776100
2007-08-12,49.22516632080078,49.68457712988727,48.72038042935349,48.73172203634068,8253600
2007-08-19,49.82637405395508,49.95682634189239,49.236510928928546,49.32158813173929,6937100
2007-08-26,50.410545349121094,50.59204129450965,49.99650975208065,50.07024099241814,10141000
2007-09-02,51.21598815917969,51.32942161418381,50.0249152455917,50.382238850551666,6823100
2007-09-09,51.203311920166016,51.97782134044008,51.01537747459285,51.539311979005966,14256700
2007-09-16,50.05288314819336,51.47661973642254,49.60298186492502,51.15200796810226,16393700
